实体类型,图层,颜色,线型,线宽,线型描述,线型图案,类型/名称,块名,值,覆盖值,位置 X,位置 Y,起点 X,起点 Y,终点 X,终点 Y,圆心 X,圆心 Y,半径,顶点数据,闭合,高度,角度,尺寸编码,起始角度,终止角度,缩放比例
图层,0,7,Continuous,-3,,,,,,,,,,,,,,,,,,,,,,,
图层,Defpoints,7,Continuous,-3,,,,,,,,,,,,,,,,,,,,,,,
图层,中心线层,1,点画线,18,点画线: ____ . ____ . ____ . ____ . ____ . ____,162;108;18;18;18,,,,,,,,,,,,,,,,,,,,,
图层,虚线层,6,虚线,18,虚线: __ __ __ __ __ __ __ __ __ __ __ __ __,18.0;9.0;9.0,,,,,,,,,,,,,,,,,,,,,
图层,细实线层,7,Continuous,18,,,,,,,,,,,,,,,,,,,,,,,
图层,粗实线层,7,Continuous,35,,,,,,,,,,,,,,,,,,,,,,,
图层,尺寸线层,3,Continuous,18,,,,,,,,,,,,,,,,,,,,,,,
图层,剖面线层,4,Continuous,18,,,,,,,,,,,,,,,,,,,,,,,
图层,隐藏层,-7,Continuous,18,,,,,,,,,,,,,,,,,,,,,,,
INSERT,粗实线层,256,BYLAYER,-1,,,,块名: $CAXA_FRAME_13B17AC1$,,,65,-206,,,,,,,,,,,,,,,
LINE,细实线层,256,BYLAYER,-1,,,,引用于: $CAXA_FRAME_13B17AC1$,,,,,-840,-594,840,-594,,,,,,,,,,,
LINE,细实线层,256,BYLAYER,-1,,,,引用于: $CAXA_FRAME_13B17AC1$,,,,,840,-594,840,594,,,,,,,,,,,
LINE,细实线层,256,BYLAYER,-1,,,,引用于: $CAXA_FRAME_13B17AC1$,,,,,840,594,-840,594,,,,,,,,,,,
LINE,细实线层,256,BYLAYER,-1,,,,引用于: $CAXA_FRAME_13B17AC1$,,,,,-840,594,-840,-594,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: $CAXA_FRAME_13B17AC1$,,,,,-800,554,-800,-554,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: $CAXA_FRAME_13B17AC1$,,,,,-800,-554,800,-554,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: $CAXA_FRAME_13B17AC1$,,,,,800,-554,800,554,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,引用于: $CAXA_FRAME_13B17AC1$,,,,,800,554,-800,554,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,-150,70,-150,-70,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,150,70,150,-70,,,,,,,,,,,
LINE,中心线层,256,BYLAYER,-1,,,,,,,,,-537,0,667,-0,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,-215,-84,250,-84,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,-175,-70,205,-70,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,-215,84,250,84,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,-175,70,205,70,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,505,81,505,-81,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,495,81,495,-81,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,455,70,455,-70,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,250,75,250,84,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,250,-75,250,-84,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,215,66,455,66,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,-208,84,-208,75,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,-175,75,-208,75,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,-215,84,-215,-84,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,-175,75,-175,70,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,-175,-75,-208,-75,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,-175,-75,-175,-70,,,,,,,,,,,
LINE,虚线层,256,BYLAYER,-1,,,,,,,,,-355,-21.5,-415.865,-21.5,,,,,,,,,,,
LINE,虚线层,256,BYLAYER,-1,,,,,,,,,-355,23,-410,23,,,,,,,,,,,
LINE,虚线层,256,BYLAYER,-1,,,,,,,,,-355,21.5,-415.865,21.5,,,,,,,,,,,
LINE,虚线层,256,BYLAYER,-1,,,,,,,,,-410,23,-410,-23,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,-355,62,-355,-62,,,,,,,,,,,
LINE,中心线层,256,BYLAYER,-1,,,,,,,,,605,-83,605,83,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,-208,-84,-208,-75,,,,,,,,,,,
DIMENSION,尺寸线层,256,BYLAYER,-1,,,LINEAR,,120,<>,-475,119.285,-475,72,-355,62,,,,,,,0,32,,,
INSERT,尺寸线层,256,BYLAYER,-1,,,,块名: *X5,,,-545.602,112.492,,,,,,,,,,,,,,,
LINE,尺寸线层,0,Continuous,-1,,,,引用于: *X5,,,,,44.159,-62.107,2.679,0,,,,,,,,,,,
LINE,尺寸线层,0,BYLAYER,-1,,,,引用于: *X5,,,,,2.679,0,0,0,,,,,,,,,,,
MTEXT,尺寸线层,0,BYLAYER,-1,,,,引用于: *X5,{\T1.1;耳环厚度60},,-100.891,21.027,,,,,,,,,,14,0,,,,
LINE,尺寸线层,0,BYLAYER,-1,,,,引用于: *X5,,,,,0,0,-103.072,0,,,,,,,,,,,
LINE,尺寸线层,0,BYLAYER,-1,,,,引用于: *X5,,,,,0,0,0,0,,,,,,,,,,,
INSERT,尺寸线层,256,BYLAYER,-1,,,,块名: *X6,,,-512.524,-114.743,,,,,,,,,,,,,,,
LINE,尺寸线层,0,Continuous,-1,,,,引用于: *X6,,,,,23.4,96.935,11.589,0,,,,,,,,,,,
LINE,尺寸线层,0,BYLAYER,-1,,,,引用于: *X6,,,,,11.589,0,0,0,,,,,,,,,,,
MTEXT,尺寸线层,0,BYLAYER,-1,,,,引用于: *X6,{\T1.1;内置销轴%%C50},,-107.787,20.586,,,,,,,,,,14,0,,,,
LINE,尺寸线层,0,BYLAYER,-1,,,,引用于: *X6,,,,,0,0,-109.383,0,,,,,,,,,,,
LINE,尺寸线层,0,BYLAYER,-1,,,,引用于: *X6,,,,,0,0,0,0,,,,,,,,,,,
INSERT,尺寸线层,256,BYLAYER,-1,,,,块名: *X7,,,651.425,114.996,,,,,,,,,,,,,,,
LINE,尺寸线层,0,Continuous,-1,,,,引用于: *X7,,,,,-22.182,-66.953,-8.191,0,,,,,,,,,,,
LINE,尺寸线层,0,BYLAYER,-1,,,,引用于: *X7,,,,,-8.191,0,0,0,,,,,,,,,,,
MTEXT,尺寸线层,0,BYLAYER,-1,,,,引用于: *X7,{\T1.1;耳环厚度60},,-7.614,20.834,,,,,,,,,,14,0,,,,
LINE,尺寸线层,0,BYLAYER,-1,,,,引用于: *X7,,,,,0,0,96.62,0,,,,,,,,,,,
LINE,尺寸线层,0,BYLAYER,-1,,,,引用于: *X7,,,,,0,0,0,0,,,,,,,,,,,
INSERT,尺寸线层,256,BYLAYER,-1,,,,块名: *X8,,,651.425,-101.683,,,,,,,,,,,,,,,
LINE,尺寸线层,0,Continuous,-1,,,,引用于: *X8,,,,,-31.406,82.942,-6.927,0,,,,,,,,,,,
LINE,尺寸线层,0,BYLAYER,-1,,,,引用于: *X8,,,,,-6.927,0,0,0,,,,,,,,,,,
MTEXT,尺寸线层,0,BYLAYER,-1,,,,引用于: *X8,{\T1.1;内置销轴%%C50},,-3.629,22.175,,,,,,,,,,14,0,,,,
LINE,尺寸线层,0,BYLAYER,-1,,,,引用于: *X8,,,,,0,0,110.942,0,,,,,,,,,,,
LINE,尺寸线层,0,BYLAYER,-1,,,,引用于: *X8,,,,,0,0,0,0,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,215,-75,215,75,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,215,75,250,75,,,,,,,,,,,
LINE,粗实线层,256,BYLAYER,-1,,,,,,,,,215,-75,250,-75,,,,,,,,,,,
